question;answer_a;answer_b;answer_c;answer_d;correct;category;explanation;difficulty
Wie heisst Don Quijotes treuer Begleiter?;Sancho Pansa;Sancho Panza;Pedro Almodovar;Gonzalo Pizarro;1;Schwere Fragen - Literatur;Der Begleiter heisst Sancho Panza.;5
"Wer schrieb das Epos ""Odyssee""?";Sophokles;Platon;Homer;Vergil;2;Schwere Fragen - Literatur;Die Odyssee wird Homer zugeschrieben.;5
Welche Stadt ist Sitz der meisten Organe der Europaeischen Union?;Strassburg;Bruessel;Luxemburg;Den Haag;1;Schwere Fragen - Geografie & Politik;Bruessel ist der Hauptsitz vieler EU-Institutionen.;5
Welcher Staat hat die groesste Flaeche der Erde?;China;Kanada;Russland;USA;2;Schwere Fragen - Geografie & Politik;Russland ist flaechenmaessig der groesste Staat.;4
Welcher Kanal verbindet Mittelmeer und Rotes Meer?;Panamakanal;Suezkanal;Nord-Ostsee-Kanal;Kielkanal;1;Schwere Fragen - Geografie & Politik;Der Suezkanal verbindet Mittelmeer und Rotes Meer.;4
In welchem Gebirge liegt der K2?;Anden;Karakorum;Alpen;Himalaya;1;Schwere Fragen - Geografie & Politik;Der K2 liegt im Karakorum.;5
Welcher Staat hat die meisten Einwohner in Afrika?;Aegypten;Aethiopien;Nigeria;Suedafrika;2;Schwere Fragen - Geografie & Politik;Nigeria ist das bevoelkerungsreichste Land Afrikas.;5
Welche Sprache hat weltweit die meisten Muttersprachler?;Englisch;Spanisch;Mandarin-Chinesisch;Hindi;2;Schwere Fragen - Geografie & Politik;Mandarin-Chinesisch hat die meisten Muttersprachler.;5
Wie heisst der laengste Fluss der Welt nach haeufiger Schulbuchnennung?;Nil;Amazonas;Jangtse;Mississippi;0;Schwere Fragen - Geografie & Politik;In vielen Schulkontexten wird der Nil als laengster Fluss genannt.;5
Welches Land besitzt die meisten Zeitzonen, wenn Ueberseegebiete mitgezaehlt werden?;Russland;Frankreich;USA;Australien;1;Schwere Fragen - Geografie & Politik;Mit Ueberseegebieten hat Frankreich die meisten Zeitzonen.;5
Welche Stadt liegt sowohl in Europa als auch in Asien?;Athen;Istanbul;Kairo;Madrid;1;Schwere Fragen - Geografie & Politik;Istanbul liegt auf zwei Kontinenten.;4
Welche Organisation vergibt die blau behelmten Friedenstruppen?;NATO;UNO;EU;OSZE;1;Schwere Fragen - Geografie & Politik;Blauhelme sind Friedenstruppen der Vereinten Nationen.;4
Was ist 5 plus 7?;10;11;12;13;2;Mathematik;5 plus 7 ergibt 12.;1
Was ist 9 mal 3?;18;21;27;36;2;Mathematik;9 mal 3 ergibt 27.;1
Was ist die Haelfte von 100?;25;50;75;200;1;Mathematik;Die Haelfte von 100 ist 50.;1
Wie viele Seiten hat ein Quadrat?;3;4;5;6;1;Mathematik;Ein Quadrat hat vier Seiten.;1
Was ist 15 minus 8?;6;7;8;9;1;Mathematik;15 minus 8 ergibt 7.;1
Was sind drei Viertel von 20?;10;12;15;18;2;Mathematik;Drei Viertel von 20 sind 15.;2
Welcher Roemische Zahlwert gehoert zu X?;5;10;50;100;1;Mathematik;X steht fuer 10.;2
Welche dieser Zahlen ist eine Primzahl?;21;22;23;24;2;Mathematik;23 ist durch 1 und 23 teilbar.;3
Wie viele Ecken hat ein Dreieck?;2;3;4;5;1;Mathematik;Ein Dreieck hat drei Ecken.;1
Wie viel sind 10 Prozent von 200?;10;20;25;40;1;Mathematik;10 Prozent von 200 sind 20.;2
Was ist die Quadratwurzel von 81?;7;8;9;10;2;Mathematik;9 mal 9 ergibt 81.;2
Was ist 7 mal 8?;48;54;56;64;2;Mathematik;7 mal 8 ergibt 56.;1
Wie viel ist 1000 geteilt durch 10?;10;50;100;1000;2;Mathematik;1000 geteilt durch 10 ergibt 100.;1
Welche Zahl kommt als naechste gerade Zahl nach 18?;19;20;21;22;1;Mathematik;Nach 18 kommt die gerade Zahl 20.;1
Wie viele Minuten sind 1 Stunde und 30 Minuten?;60;75;90;120;2;Mathematik;1 Stunde und 30 Minuten sind 90 Minuten.;2
Was ist 2 hoch 5?;16;25;32;64;2;Mathematik;2 hoch 5 ergibt 32.;3
Wie viele Cent sind ein Viertel von 1 Euro?;10;20;25;50;2;Mathematik;Ein Viertel von 100 Cent sind 25 Cent.;2
Wie viele Grad hat ein rechter Winkel?;45;60;90;180;2;Mathematik;Ein rechter Winkel hat 90 Grad.;2
Welche Bruchzahl entspricht 0,5?;1/3;1/2;2/3;3/4;1;Mathematik;0,5 entspricht einem Halb.;2
Wie viele Monate hat ein Jahr?;10;11;12;13;2;Mathematik;Ein Jahr hat 12 Monate.;1
Was ist 14 plus 9?;21;22;23;24;2;Mathematik;14 plus 9 ergibt 23.;1
Was ist 6 mal 6?;30;32;36;42;2;Mathematik;6 mal 6 ergibt 36.;1
Welche Zahl ist kleiner als 0?;1;2;-1;3;2;Mathematik;Negative Zahlen liegen unter 0.;2
Wie viele Zentimeter hat 1 Meter?;10;50;100;1000;2;Mathematik;1 Meter entspricht 100 Zentimetern.;1
Wie viel ist 48 geteilt durch 6?;6;7;8;9;2;Mathematik;48 geteilt durch 6 ergibt 8.;1
Wie viele Stunden hat ein Tag?;12;18;24;36;2;Mathematik;Ein Tag hat 24 Stunden.;1
Welches Zeichen steht fuer groesser als?;<;>;=;+;1;Mathematik;Das Zeichen > bedeutet groesser als.;1
Was ist das Doppelte von 17?;24;30;34;36;2;Mathematik;Das Doppelte von 17 ist 34.;1
Wie viele Millimeter sind 1 Zentimeter?;5;10;50;100;1;Mathematik;1 Zentimeter sind 10 Millimeter.;1
Was ist 30 Prozent von 50?;10;15;20;25;1;Mathematik;30 Prozent von 50 sind 15.;3
Was ist 11 mal 11?;111;121;131;141;1;Mathematik;11 mal 11 ergibt 121.;2
Wie viele Sekunden hat 1 Minute?;30;45;60;100;2;Mathematik;1 Minute hat 60 Sekunden.;1
Was ist 100 minus 37?;53;63;67;73;1;Mathematik;100 minus 37 ergibt 63.;2
Wie viele Seiten hat ein Wuerfel?;4;5;6;8;2;Mathematik;Ein Wuerfel hat sechs Flaechen.;2
Wie viel ist ein Drittel von 27?;6;8;9;12;2;Mathematik;27 geteilt durch 3 ergibt 9.;2
Welche Zahl ist durch 5 teilbar?;12;17;20;23;2;Mathematik;20 endet auf 0 und ist durch 5 teilbar.;2
Was ist 4 hoch 2?;8;12;16;20;2;Mathematik;4 hoch 2 ergibt 16.;2
Wie viele Minuten sind 2 Stunden?;90;100;120;180;2;Mathematik;2 Stunden sind 120 Minuten.;1
Welcher Bruch ist groesser?;1/4;1/3;1/5;1/6;1;Mathematik;Ein Drittel ist groesser als ein Viertel.;3
Was ist 64 geteilt durch 8?;6;7;8;9;2;Mathematik;64 geteilt durch 8 ergibt 8.;1
Welcher Teil der Pflanze betreibt die Photosynthese?;Wurzel;Blatt;Samen;Rinde;1;Natur & Umwelt;Die Photosynthese findet vor allem in den Blaettern statt.;2
Welches Gas atmen Menschen hauptsaechlich ein?;Helium;Sauerstoff;Argon;Kohlendioxid;1;Natur & Umwelt;Menschen brauchen Sauerstoff zum Atmen.;1
Wie nennt man gefrorenes Wasser?;Dampf;Nebel;Eis;Tau;2;Natur & Umwelt;Gefrorenes Wasser ist Eis.;1
Welcher Planet ist als roter Planet bekannt?;Jupiter;Mars;Venus;Neptun;1;Natur & Umwelt;Mars wird oft roter Planet genannt.;2
Welches Tier ist ein Insekt?;Spinne;Ameise;Wurm;Schnecke;1;Natur & Umwelt;Eine Ameise ist ein Insekt.;1
Wie nennt man den Kreislauf von Verdunstung und Regen?;Lichtkreis;Wasserkreislauf;Bodenlauf;Windkette;1;Natur & Umwelt;Verdunstung und Niederschlag gehoeren zum Wasserkreislauf.;2
Welche Jahreszeit folgt auf den Sommer?;Fruehling;Herbst;Winter;Sommer;1;Natur & Umwelt;Nach dem Sommer kommt der Herbst.;1
Womit bestaeuben Bienen oft Blueten?;Mit Wasser;Mit Pollen;Mit Sand;Mit Lehm;1;Natur & Umwelt;Bienen transportieren Pollen zwischen Blueten.;2
Welches Naturereignis misst man oft mit der Richterskala?;Sturm;Flut;Erdbeben;Hitze;2;Natur & Umwelt;Die Richterskala beschreibt Erdbebenstaerken.;3
Welche Farbe haben gesunde Blaetter oft?;Blau;Gruen;Rot;Schwarz;1;Natur & Umwelt;Chlorophyll laesst viele Blaetter gruen erscheinen.;1
Welcher Stern steht im Mittelpunkt unseres Sonnensystems?;Mond;Sirius;Sonne;Vega;2;Natur & Umwelt;Die Sonne ist das Zentrum unseres Sonnensystems.;1
Was brauchen Feuer und Flamme unter anderem?;Schnee;Sauerstoff;Eis;Lehm;1;Natur & Umwelt;Feuer braucht unter anderem Sauerstoff.;2
Wie nennt man junge Froesche nach dem Schluempfen?;Larvenfische;Kaulquappen;Jungviper;Raupen;1;Natur & Umwelt;Froschlarven heißen Kaulquappen.;2
Welches dieser Tiere haelt Winterschlaf?;Schwalbe;Igel;Amsel;Reh;1;Natur & Umwelt;Igel halten Winterschlaf.;2
Wie nennt man die aeussere Gesteinshuelse der Erde?;Mantelkern;Erdkruste;Wasserschicht;Lufthaut;1;Natur & Umwelt;Die oberste feste Schicht heißt Erdkruste.;4
Welche Energiequelle nutzt Windkraft?;Gas;Oel;Wind;Kohle;2;Natur & Umwelt;Windkraft nutzt die Bewegung der Luft.;1
Was ist ein Regenbogen?;Ein Sternbild;Ein Lichtphaenomen;Ein Gestein;Ein Vogelzug;1;Natur & Umwelt;Ein Regenbogen entsteht durch Lichtbrechung in Wassertropfen.;2
Welcher Ozean ist der groesste der Erde?;Atlantik;Arktischer Ozean;Pazifik;Indischer Ozean;2;Natur & Umwelt;Der Pazifik ist der groesste Ozean.;3
Welche Schicht schuetzt uns vor vielen UV-Strahlen?;Wolkendecke;Ozonschicht;Erdkruste;Magmaschicht;1;Natur & Umwelt;Die Ozonschicht filtert einen Teil der UV-Strahlung.;4
Wie nennt man einen Baum, der im Winter gruen bleibt?;Laubbaum;Obstbaum;Nadelbaum;Moosbaum;2;Natur & Umwelt;Viele Nadelbaeume bleiben im Winter gruen.;2
Welche Hauptstadt hat Spanien?;Barcelona;Madrid;Valencia;Sevilla;1;Geografie Extra;Madrid ist die Hauptstadt Spaniens.;2
Welcher Kontinent ist der kleinste?;Asien;Europa;Australien;Afrika;2;Geografie Extra;Australien gilt als kleinster Kontinent.;3
Durch welches Land fließt der Nil hauptsaechlich in Nordafrika?;Aegypten;Portugal;Finnland;Mexiko;0;Geografie Extra;Der Nil ist besonders mit Aegypten verbunden.;2
Welche Hauptstadt hat Japan?;Osaka;Kyoto;Tokio;Hiroshima;2;Geografie Extra;Tokio ist die Hauptstadt Japans.;2
Welches Gebirge liegt in Mitteleuropa?;Anden;Alpen;Himalaya;Atlas;1;Geografie Extra;Die Alpen liegen in Mitteleuropa.;2
Welche Insel gehoert zu Italien?;Sardinien;Island;Madagaskar;Kuba;0;Geografie Extra;Sardinien gehoert zu Italien.;3
Welches Land liegt suedlich von den USA?;Kanada;Mexiko;Island;Chile;1;Geografie Extra;Suedlich der USA liegt Mexiko.;1
Welche Hauptstadt hat Norwegen?;Oslo;Bergen;Stockholm;Kopenhagen;0;Geografie Extra;Oslo ist die Hauptstadt von Norwegen.;2
Welcher Fluss fließt durch Paris?;Themse;Seine;Rhein;Elbe;1;Geografie Extra;Paris liegt an der Seine.;2
Welches Land ist fuer seine Pyramiden bekannt?;Peru;Aegypten;Indien;Schottland;1;Geografie Extra;Die bekannten Pyramiden stehen in Aegypten.;1
Welche Hauptstadt hat Brasilien?;Rio de Janeiro;Sao Paulo;Brasilia;Salvador;2;Geografie Extra;Brasilia ist die Hauptstadt Brasiliens.;4
Welches Land hat die Form einer langen schmalen Kueste in Suedamerika?;Chile;Bolivien;Paraguay;Suriname;0;Geografie Extra;Chile ist lang und schmal entlang der Pazifikkueste.;3
Welches Meer liegt oestlich von Italien?;Adria;Nordsee;Ostsee;Kaspisches Meer;0;Geografie Extra;Oestlich von Italien liegt die Adria.;3
Welche Hauptstadt hat Schweden?;Oslo;Stockholm;Helsinki;Reykjavik;1;Geografie Extra;Stockholm ist die Hauptstadt Schwedens.;2
Auf welchem Kontinent liegt Kenia?;Afrika;Asien;Europa;Australien;0;Geografie Extra;Kenia liegt in Afrika.;1
Welche Stadt ist fuer den Eiffelturm bekannt?;Rom;Paris;Lissabon;Prag;1;Geografie Extra;Der Eiffelturm steht in Paris.;1
Welches Land hat die Hauptstadt Bern?;Belgien;Schweiz;Oesterreich;Luxemburg;1;Geografie Extra;Bern ist die Bundesstadt der Schweiz.;3
Welcher Ozean liegt westlich von Afrika?;Pazifik;Atlantik;Arktischer Ozean;Indischer Ozean;1;Geografie Extra;Westlich von Afrika liegt der Atlantik.;2
Welche Hauptstadt hat Griechenland?;Athen;Sparta;Korinth;Thessaloniki;0;Geografie Extra;Athen ist die Hauptstadt Griechenlands.;2
Welche Wuestenregion liegt in der Mongolei und China?;Atacama;Sahara;Gobi;Namib;2;Geografie Extra;Die Gobi liegt in Asien.;3
Wer war der erste Mensch auf dem Mond?;Buzz Aldrin;Neil Armstrong;Juri Gagarin;Alan Shepard;1;Geschichte Extra;Neil Armstrong betrat 1969 als Erster den Mond.;3
In welchem Jahr begann der Zweite Weltkrieg?;1938;1939;1940;1941;1;Geschichte Extra;Der Zweite Weltkrieg begann 1939.;3
Welche Mauer trennte frueher West- und Ostberlin?;Chinesische Mauer;Hadrianswall;Berliner Mauer;Klagemauer;2;Geschichte Extra;Die Berliner Mauer teilte die Stadt bis 1989.;2
Welcher Entdecker erreichte Amerika 1492?;Magellan;Kolumbus;Cook;Vespucci;1;Geschichte Extra;Kolumbus erreichte 1492 Amerika.;2
Welche Zivilisation baute Machu Picchu?;Roemer;Inka;Wikinger;Maya;1;Geschichte Extra;Machu Picchu wird den Inka zugeschrieben.;3
Wer war britische Premierministerin in den 1980ern mit dem Spitznamen Eiserne Lady?;Theresa May;Margaret Thatcher;Angela Merkel;Golda Meir;1;Geschichte Extra;Margaret Thatcher wurde Eiserne Lady genannt.;4
Welche Epoche ging der Industrialisierung voraus?;Renaissance;Mittelalter;Fruehe Neuzeit;Kalter Krieg;2;Geschichte Extra;Die Industrialisierung begann in der Fruehen Neuzeit bzw. deren spaeter Phase.;4
Welches Reich wurde von Dschingis Khan gegruendet?;Osmanisches Reich;Mongolisches Reich;Perserreich;Byzantinisches Reich;1;Geschichte Extra;Dschingis Khan gruendete das Mongolische Reich.;4
Wie hiess das Schiff von James Cook?;Santa Maria;Endeavour;Beagle;Victoria;1;Geschichte Extra;James Cook segelte mit der Endeavour.;4
Welcher Krieg wurde auch Großer Krieg genannt?;Siebenjaehriger Krieg;Erster Weltkrieg;Kalter Krieg;Koreakrieg;1;Geschichte Extra;Der Erste Weltkrieg wurde zeitweise Großer Krieg genannt.;3
Welche Nation landete 1969 als erste Menschen auf dem Mond?;UdSSR;USA;China;Frankreich;1;Geschichte Extra;Die Mondlandung 1969 erfolgte durch die USA.;3
Wer war Kaiser der Franzosen und wurde 1815 endgueltig besiegt?;Ludwig XIV.;Napoleon Bonaparte;Karl V.;Robespierre;1;Geschichte Extra;Napoleon wurde 1815 bei Waterloo besiegt.;4
Welche Stadt war Zentrum des antiken Westroemischen Reiches?;Athen;Rom;Byzanz;Karthago;1;Geschichte Extra;Rom war das Zentrum des Roemischen Reiches.;2
Welcher Seefahrer umsegelte als Expedition als erste die Erde?;Kolumbus;Magellan-Elcano-Expedition;Cook;Drake;1;Geschichte Extra;Die Weltumsegelung gelang der Magellan-Elcano-Expedition.;5
Wer war praegende Person der US-Buergerrechtsbewegung mit der Rede I have a dream?;Malcolm X;Martin Luther King Jr.;Nelson Mandela;Rosa Parks;1;Geschichte Extra;Die beruehmte Rede hielt Martin Luther King Jr.;3
Welche Revolution begann 1789 in Frankreich?;Russische Revolution;Franzoesische Revolution;Amerikanische Revolution;Industrielle Revolution;1;Geschichte Extra;1789 begann die Franzoesische Revolution.;3
Welche Stadt war im Mittelalter ein Zentrum der Hanse?;Bremen;Madrid;Athen;Kiew;0;Geschichte Extra;Bremen war eine bedeutende Hansestadt.;4
Welcher Vertrag gründete nach dem Ersten Weltkrieg den Voelkerbund mit?;Versailler Vertrag;Lissabon-Vertrag;Maastrichter Vertrag;Wiener Kongress;0;Geschichte Extra;Der Versailler Vertrag steht damit in Verbindung.;5
Welche Herrscherin wird als Zarin von Russland des 18. Jahrhunderts mit dem Beinamen die Große bezeichnet?;Katharina die Große;Maria Theresia;Elisabeth I.;Anna Karenina;0;Geschichte Extra;Katharina II. wird Katharina die Große genannt.;4
Welches Schiff sank 1912 auf seiner Jungfernfahrt?;Britannic;Lusitania;Titanic;Bismarck;2;Geschichte Extra;Die Titanic sank 1912.;1
Wofuer steht die Abkuerzung RAM?;Random Access Memory;Read And Move;Rapid Archive Mode;Remote Analog Module;0;Technik Extra;RAM bedeutet Random Access Memory.;3
Welches Geraet verteilt oft Internet im Heimnetz?;Monitor;Router;Drucker;Scanner;0;Technik Extra;Ein Router verbindet und verteilt Netzwerke.;2
Welche Firma entwickelt Windows?;Apple;Microsoft;Google;IBM;1;Technik Extra;Windows stammt von Microsoft.;1
Was ist ein Betriebssystem?;Eine Schriftart;Die Grundsoftware eines Computers;Ein Kabeltyp;Ein Browserfenster;1;Technik Extra;Das Betriebssystem steuert den Computer grundlegend.;2
Welche Taste loescht oft Zeichen links vom Cursor?;Enter;Backspace;Ctrl;Alt;1;Technik Extra;Backspace loescht links vom Cursor.;1
Wofuer nutzt man eine Maus am Computer?;Zum Kuehlen;Zur Steuerung des Zeigers;Zum Drucken;Zum Aufladen;1;Technik Extra;Mit der Maus steuert man den Zeiger.;1
Welches Dateiformat ist typisch fuer Bilder?;MP3;PNG;TXT;EXE;1;Technik Extra;PNG ist ein Bildformat.;2
Wofuer steht WLAN?;Wireless Local Area Network;Wide Light Access Node;World Link Audio Number;Web Line Access Name;0;Technik Extra;WLAN steht fuer Wireless Local Area Network.;4
Welche Taste nutzt man oft fuer Grossbuchstaben?;Tab;Shift;Esc;Delete;1;Technik Extra;Mit Shift schreibt man Grossbuchstaben.;1
Was macht ein Akku?;Er speichert elektrische Energie;Er zeigt Webseiten;Er kuehlt den Prozessor;Er misst Lautstaerke;0;Technik Extra;Ein Akku speichert Energie.;1
Welche Suchmaschine ist besonders bekannt?;Firefox;Google;Word;Excel;1;Technik Extra;Google ist eine bekannte Suchmaschine.;1
Was ist Bluetooth?;Ein Druckertreiber;Eine Funktechnik fuer kurze Distanzen;Ein Bildformat;Ein Texteditor;1;Technik Extra;Bluetooth ist eine Funktechnik fuer kurze Distanzen.;2
Welche Einheit misst Prozessor-Taktfrequenz?;Volt;Liter;Hertz;Meter;2;Technik Extra;Taktfrequenz wird in Hertz gemessen.;4
Was ist ein Screenshot?;Ein Bildschirmfoto;Ein Mauskabel;Eine Lautsprecherbox;Ein Passwortmanager;0;Technik Extra;Ein Screenshot ist ein Bildschirmausschnitt.;1
Wofuer steht USB?;Universal Serial Bus;Ultra Signal Board;User System Base;Unified Storage Block;0;Technik Extra;USB steht fuer Universal Serial Bus.;3
Welche Komponente rendert oft 3D-Grafik?;SSD;GPU;Netzteil;Luefter;1;Technik Extra;Die GPU berechnet Grafik.;3
Was ist eine App?;Ein Mobilfunkmast;Ein Anwendungsprogramm;Ein Druckkopf;Ein Batteriepack;1;Technik Extra;App ist die Kurzform von Applikation.;1
Was bedeutet Download?;Datei hochladen;Datei herunterladen;Datei loeschen;Datei drucken;1;Technik Extra;Download bedeutet Herunterladen.;1
Welche Taste aktualisiert auf vielen Webseiten die Ansicht?;F1;F5;F9;F12;1;Technik Extra;F5 lädt die Seite oft neu.;2
Welches Speichermedium hat keine beweglichen Teile?;HDD;SSD;Diskette;CD-Wechsler;1;Technik Extra;SSDs arbeiten ohne mechanische Teile.;3
Welches Instrument hat vier Saiten und wird gestrichen?;Trommel;Violine;Trompete;Floete;1;Musik Extra;Die Violine hat vier Saiten.;2
Wie nennt man eine Abfolge von Toenen?;Melodie;Steinbruch;Temperatur;Mahlzeit;0;Musik Extra;Eine Melodie ist eine geordnete Tonfolge.;1
Welches Symbol in der Musik erniedrigt einen Ton oft um einen Halbton?;Kreuz;b;Punkt;Komma;1;Musik Extra;Das b steht fuer ein Be.;4
Was zaehlt im 4/4-Takt haeufig pro Takt?;2 Schlaege;3 Schlaege;4 Schlaege;8 Schlaege;2;Musik Extra;Im 4/4-Takt werden meist vier Schlaege gezaehlt.;2
Welches Instrument gehoert zur Blechbläserfamilie?;Klarinette;Trompete;Oboe;Fagott;1;Musik Extra;Die Trompete ist ein Blechblasinstrument.;2
Wie nennt man sehr schnelles Tempo in der Musik oft?;Largo;Allegro;Adagio;Piano;1;Musik Extra;Allegro steht fuer ein schnelles Tempo.;4
Wer schrieb die 9. Sinfonie mit der Ode an die Freude?;Mozart;Beethoven;Bach;Schubert;1;Musik Extra;Beethoven komponierte die 9. Sinfonie.;3
Welches Instrument spielt man mit Tasten und Pedalen?;Klavier;Geige;Horn;Harfe;0;Musik Extra;Ein Klavier hat Tasten und meist Pedale.;1
Wie nennt man das Singen ohne Instrumentalbegleitung?;Solo;A cappella;Remix;Encore;1;Musik Extra;A cappella bedeutet ohne Instrumente.;4
Welche Note folgt im Alphabet direkt auf C?;A;B;D;E;2;Musik Extra;Auf C folgt D.;1
Wie nennt man ein Lied fuer eine einzelne Hauptstimme in der Oper?;Arie;Suite;Etuede;Ouvertuere;0;Musik Extra;Eine Arie ist ein typisches Solostueck in der Oper.;4
Welches Instrument wird oft mit einem Bogen gespielt?;Cello;Cajon;Posaune;Xylophon;0;Musik Extra;Das Cello wird mit einem Bogen gespielt.;2
Was bedeutet forte in der Musik?;Leise;Laut;Langsam;Traurig;1;Musik Extra;Forte bedeutet laut.;3
Wie viele Linien hat ein normales Notensystem?;3;4;5;6;2;Musik Extra;Ein Notensystem hat fünf Linien.;3
Welches Instrument gehoert zu den Holzbläsern?;Posaune;Saxofon;Tuba;Pauke;1;Musik Extra;Das Saxofon zählt zu den Holzbläsern.;3
Wer ist in einer Band meist fuer den Rhythmus auf dem Schlagzeug zustaendig?;Drummer;Bassist;Dirigent;Tenor;0;Musik Extra;Der Drummer spielt Schlagzeug.;1
Wie nennt man eine Sammlung von Liedern auf einer Platte oder CD?;Album;Staffel;Episode;Palette;0;Musik Extra;Mehrere Songs zusammen bilden oft ein Album.;1
Welches Instrument hat schwarze und weisse Tasten und klingt elektronisch oft aus einem Gehaeuse?;Keyboard;Cello;Trommel;Horn;0;Musik Extra;Ein Keyboard hat Tasten und ist elektronisch.;1
Wie nennt man einen einzelnen Gesangspart fuer zwei Personen?;Solo;Duett;Quartett;Chor;1;Musik Extra;Ein Duett ist fuer zwei Stimmen.;2
Was bezeichnet man in der Musik als Refrain?;Den wiederkehrenden Teil;Die erste Strophe;Ein Instrumentensolo;Den Schlussapplaus;0;Musik Extra;Der Refrain wiederholt sich oft.;2
Welche Frucht steckt in Apfelsaft?;Birne;Apfel;Traube;Pflaume;1;Essen & Trinken Extra;Apfelsaft wird aus Aepfeln gewonnen.;1
Welches Gewuerz ist typisch gelb und faerbt stark?;Pfeffer;Kurkuma;Salz;Majoran;1;Essen & Trinken Extra;Kurkuma faerbt Speisen gelb.;3
Woraus wird traditionell Brot gebacken?;Mehl;Steine;Papier;Gips;0;Essen & Trinken Extra;Mehl ist eine Grundzutat fuer Brot.;1
Welches Getraenk enthaelt oft Koffein und stammt aus Teeblaettern?;Tee;Milch;Saft;Wasser;0;Essen & Trinken Extra;Tee wird aus Teeblaettern zubereitet.;1
Welche Zutat macht Schokolade meist braun?;Kakao;Salz;Reis;Kohl;0;Essen & Trinken Extra;Kakao ist die Basis von Schokolade.;1
Welches Obst ist fuer Vitamine und eine orange Farbe bekannt?;Orange;Pflaume;Feige;Kiwi;0;Essen & Trinken Extra;Orangen sind orange und vitaminreich.;1
Welcher Brotbelag besteht oft aus gemahlenen Kichererbsen?;Pesto;Hummus;Ketchup;Senf;1;Essen & Trinken Extra;Hummus wird aus Kichererbsen gemacht.;3
Was ist Sushi typischerweise?;Ein Kuchen;Ein japanisches Reisgericht;Eine Limonade;Ein Kaese;1;Essen & Trinken Extra;Sushi ist ein japanisches Reisgericht.;2
Welche Zutat braucht man fuer Rührei?;Reis;Eier;Linsen;Nudeln;1;Essen & Trinken Extra;Ruehrei besteht aus Eiern.;1
Welches Geraet kuehlt Lebensmittel?;Backofen;Kuehlschrank;Toaster;Mixer;1;Essen & Trinken Extra;Der Kuehlschrank kuehlt Lebensmittel.;1
Welche Frucht ist die Hauptzutat von Marmelade aus Erdbeeren?;Erdbeere;Banane;Apfel;Mango;0;Essen & Trinken Extra;Erdbeermarmelade wird aus Erdbeeren gemacht.;1
Welches Getraenk entsteht aus Trauben?;Orangensaft;Wein;Kakao;Milch;1;Essen & Trinken Extra;Wein wird aus Trauben hergestellt.;2
Was ist Mozzarella?;Ein Obst;Ein Kaese;Ein Fisch;Ein Gewuerz;1;Essen & Trinken Extra;Mozzarella ist eine Kaesesorte.;1
Welche Zutat macht Wasser sprudelnd?;Stickstoff;Kohlensaeure;Staerke;Zuckerwatte;1;Essen & Trinken Extra;Sprudelwasser enthält Kohlensaeure.;2
Welches Gericht besteht oft aus Teig, Tomatensauce und Kaese?;Pizza;Suppe;Porridge;Salat;0;Essen & Trinken Extra;Pizza hat meist diese Grundzutaten.;1
Welche Frucht hat oft einen Stein in der Mitte?;Kirsche;Johannisbeere;Erdbeere;Traube;0;Essen & Trinken Extra;Kirschen haben einen Stein.;1
Welches Gewuerz wird aus Pfefferkoernern gewonnen?;Pfeffer;Safran;Vanille;Kurkuma;0;Essen & Trinken Extra;Pfeffer stammt aus Pfefferkoernern.;1
Woraus wird Popcorn gemacht?;Reis;Mais;Weizen;Hafer;1;Essen & Trinken Extra;Popcorn wird aus Mais gemacht.;1
Was ist Espresso?;Eine Käsesorte;Ein starker Kaffee;Ein Tee;Eine Suppe;1;Essen & Trinken Extra;Espresso ist eine konzentrierte Kaffeezubereitung.;2
Welche Speise wird oft aus Kartoffeln und Fett in Streifen gebacken oder frittiert?;Pommes;Knödel;Müsli;Brot;0;Essen & Trinken Extra;Pommes bestehen aus Kartoffelstreifen.;1
Welches Wort ist ein Adjektiv?;Baum;laufen;schoen;singen;2;Sprache Extra;Schoen ist ein Eigenschaftswort.;2
Wie nennt man ein Wort fuer das Gegenteil?;Synonym;Antonym;Artikel;Subjekt;1;Sprache Extra;Ein Gegenteil heißt Antonym.;3
Welches Satzzeichen beendet oft eine Frage?;Punkt;Komma;Fragezeichen;Doppelpunkt;2;Sprache Extra;Fragen enden meist mit einem Fragezeichen.;1
Welche Wortart bezeichnet Taetigkeiten?;Nomen;Verb;Artikel;Praeposition;1;Sprache Extra;Verben bezeichnen Taetigkeiten.;1
Welches Wort ist richtig geschrieben?;Adresse;Addresse;Adresse;Adressse;0;Sprache Extra;Adresse wird mit einem d und zwei s geschrieben.;3
Welcher Buchstabe folgt im Alphabet auf M?;L;N;O;P;1;Sprache Extra;Nach M kommt N.;1
Was ist die Mehrzahl von Haus?;Hause;Haeuser;Haeuse;Hausen;1;Sprache Extra;Die korrekte Mehrzahl ist Haeuser.;2
Welches Wort ist ein Artikel?;der;schnell;laufen;blau;0;Sprache Extra;Der ist ein bestimmter Artikel.;1
Wie nennt man zusammengesetzte Woerter wie Haustuer?;Komposita;Pronomen;Silbenbruch;Konjunktionen;0;Sprache Extra;Zusammengesetzte Woerter heißen Komposita.;4
Welches Wort beginnt mit einem Vokal?;Ball;Stuhl;Auto;Tisch;2;Sprache Extra;Auto beginnt mit A und damit mit einem Vokal.;1
Was ist die Vergangenheitsform von gehen?;ging;geht;gehend;gehte;0;Sprache Extra;Die einfache Vergangenheit von gehen ist ging.;2
