question;answer_a;answer_b;answer_c;answer_d;correct;category;explanation;difficulty
Wie heisst Don Quijotes treuer Begleiter?;Sancho Pansa;Sancho Panza;Pedro Almodovar;Gonzalo Pizarro;1;Schwere Fragen - Literatur;Der Begleiter heisst Sancho Panza.;5
"Wer schrieb das Epos ""Odyssee""?";Sophokles;Platon;Homer;Vergil;2;Schwere Fragen - Literatur;Die Odyssee wird Homer zugeschrieben.;5
Welche Stadt ist Sitz der meisten Organe der Europaeischen Union?;Strassburg;Bruessel;Luxemburg;Den Haag;1;Schwere Fragen - Geografie & Politik;Bruessel ist der Hauptsitz vieler EU-Institutionen.;5
Welcher Staat hat die groesste Flaeche der Erde?;China;Kanada;Russland;USA;2;Schwere Fragen - Geografie & Politik;Russland ist flaechenmaessig der groesste Staat.;4
Welcher Kanal verbindet Mittelmeer und Rotes Meer?;Panamakanal;Suezkanal;Nord-Ostsee-Kanal;Kielkanal;1;Schwere Fragen - Geografie & Politik;Der Suezkanal verbindet Mittelmeer und Rotes Meer.;4
In welchem Gebirge liegt der K2?;Anden;Karakorum;Alpen;Himalaya;1;Schwere Fragen - Geografie & Politik;Der K2 liegt im Karakorum.;5
Welcher Staat hat die meisten Einwohner in Afrika?;Aegypten;Aethiopien;Nigeria;Suedafrika;2;Schwere Fragen - Geografie & Politik;Nigeria ist das bevoelkerungsreichste Land Afrikas.;5
Welche Sprache hat weltweit die meisten Muttersprachler?;Englisch;Spanisch;Mandarin-Chinesisch;Hindi;2;Schwere Fragen - Geografie & Politik;Mandarin-Chinesisch hat die meisten Muttersprachler.;5
Wie heisst der laengste Fluss der Welt nach haeufiger Schulbuchnennung?;Nil;Amazonas;Jangtse;Mississippi;0;Schwere Fragen - Geografie & Politik;In vielen Schulkontexten wird der Nil als laengster Fluss genannt.;5
Welches Land besitzt die meisten Zeitzonen, wenn Ueberseegebiete mitgezaehlt werden?;Russland;Frankreich;USA;Australien;1;Schwere Fragen - Geografie & Politik;Mit Ueberseegebieten hat Frankreich die meisten Zeitzonen.;5
Welche Stadt liegt sowohl in Europa als auch in Asien?;Athen;Istanbul;Kairo;Madrid;1;Schwere Fragen - Geografie & Politik;Istanbul liegt auf zwei Kontinenten.;4
Welche Organisation vergibt die blau behelmten Friedenstruppen?;NATO;UNO;EU;OSZE;1;Schwere Fragen - Geografie & Politik;Blauhelme sind Friedenstruppen der Vereinten Nationen.;4
